Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Profit_Label
2013-07-11,11,July,2013,1.0,Youth (<25),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",1,1912,3400,774,1912,2686,More or equal to 100
2016-05-01,1,May,2016,38.0,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,20,2,5,58,40,98,Less than 100
2013-10-03,3,October,2013,,,M,Germany,Nordrhein-Westfalen,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5,2,2,4,Less than 100
2016-02-01,1,Feb,2016,45.0,Adults (35-64),M,France,Essonne,Clothing,Vests,"Classic Vest, S",1,24,64,37,24,61,Less than 100
2014-06-23,23,June,2014,43.0,Adults (35-64),F,France,Moselle,Bikes,Touring Bikes,"Touring-1000 Blue, 60",1,1482,2384,616,1482,2098,More or equal to 100
2014-07-16,16,July,2014,47.0,Adults (35-64),F,Australia,Queensland,Clothing,Vests,"Classic Vest, L",4,24,64,119,96,215,More or equal to 100
2016-07-24,24,July,2016,27.0,Young Adults (25-34),M,Australia,New South Wales,Accessories,Tires and Tubes,ML Road Tire,29,9,25,370,261,631,More or equal to 100
2015-12-13,13,Dec,2015,34.0,Young Adults (25-34),F,Canada,British Columbia,Accessories,Cleaners,Bike Wash - Dissolver,13,3,8,64,39,103,Less than 100
2015-10-25,25,October,2015,44.0,Adults (35-64),F,Australia,Queensland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,24,2,5,53,48,101,Less than 100
2016-06-03,3,June,2016,48.0,Adults (35-64),F,Canada,British Columbia,Accessories,Cleaners,Bike Wash - Dissolver,26,3,8,128,78,206,More or equal to 100
2014-02-13,13,Feb,2014,39.0,Adults (35-64),F,Australia,Queensland,Accessories,Tires and Tubes,Patch Kit/8 Patches,27,1,2,18,27,45,Less than 100
2016-05-05,5,May,2016,30.0,Young Adults (25-34),F,Australia,Tasmania,Clothing,Caps,AWC Logo Cap,25,7,9,7,175,182,Less than 100
2015-11-01,1,Nov,2015,17.0,Youth (<25),F,France,Seine (Paris),Accessories,Cleaners,Bike Wash - Dissolver,18,3,8,64,54,118,Less than 100
2015-06-27,27,June,2015,42.0,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-650 Red, 48",1,487,783,265,487,752,More or equal to 100
2011-01-14,14,January,2011,26.0,Young Adults (25-34),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Black, 46",2,1252,2295,1352,2504,3856,More or equal to 100
2014-07-31,31,July,2014,43.0,Adults (35-64),M,Australia,Victoria,Clothing,Gloves,"Half-Finger Gloves, M",27,9,24,269,243,512,More or equal to 100
2013-09-26,26,September,2013,33.0,Young Adults (25-34),F,Germany,Hamburg,Accessories,Tires and Tubes,Patch Kit/8 Patches,7,1,2,6,7,13,Less than 100
2013-10-25,25,October,2013,18.0,Youth (<25),F,France,Nord,Accessories,Tires and Tubes,Road Tire Tube,8,1,4,20,8,28,Less than 100
2014-07-15,15,July,2014,22.0,Youth (<25),F,United States,California,Accessories,Tires and Tubes,LL Road Tire,14,8,21,176,112,288,More or equal to 100
2014-03-01,1,Mar,2014,23.0,Youth (<25),M,Australia,Queensland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,11,2,5,24,22,46,Less than 100
2014-02-05,5,Feb,2014,21.0,Youth (<25),M,USA,California,Accessories,Helmets,"Sport-100 Helmet, Red",3,13,35,64,39,103,Less than 100
2014-05-15,15,May,2014,56.0,Adults (35-64),M,Australia,New South Wales,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",12,42,54,60,504,564,Less than 100
2013-09-23,23,September,2013,34.0,Young Adults (25-34),F,Australia,New South Wales,Accessories,Bottles and Cages,Road Bottle Cage,9,3,9,43,27,70,Less than 100
2016-05-19,19,May,2016,24.0,Youth (<25),M,Australia,Queensland,Bikes,Road Bikes,"Road-250 Black, 52",1,1555,2443,497,1555,2052,More or equal to 100
2015-07-12,12,July,2015,18.0,Youth (<25),M,Australia,South Australia,Clothing,Socks,"Racing Socks, M",21,3,9,92,63,155,Less than 100
2016-05-20,20,May,2016,49.0,Adults (35-64),M,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,6,2,5,14,12,26,Less than 100
2014-02-12,12,Feb,2014,53.0,Adults (35-64),F,Canada,British Columbia,Accessories,Bottles and Cages,-----,11,2,5,32,22,54,Less than 100
2014-07-20,20,July,2014,46.0,Adults (35-64),F,USA,California,Accessories,Tires and Tubes,Mountain Tire Tube,29,2,5,84,58,142,Less than 100
2015-08-20,20,August,2015,37.0,Adults (35-64),F,Australia,Queensland,Bikes,Touring Bikes,"Touring-1000 Blue, 54",1,1482,2384,521,1482,2003,More or equal to 100
2013-09-29,29,September,2013,28.0,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,-----,1,420,769,249,420,669,More or equal to 100
2015-11-20,20,Nov,2015,33.0,Young Adults (25-34),F,United States,California,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",6,38,50,66,228,294,Less than 100
2015-10-22,22,October,2015,36.0,Adults (35-64),F,Australia,Tasmania,Accessories,Tires and Tubes,Patch Kit/8 Patches,3,1,2,2,3,5,Less than 100
2014-03-02,2,Mar,2014,37.0,Adults (35-64),F,USA,California,Accessories,Fenders,Fender Set - Mountain,19,8,22,258,152,410,More or equal to 100
2016-04-14,14,April,2016,64.0,Adults (35-64),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",2,1266,2320,1087,2532,3619,More or equal to 100
2015-12-04,4,Dec,2015,26.0,Young Adults (25-34),M,Australia,Tasmania,Accessories,Bottles and Cages,Road Bottle Cage,6,3,9,26,18,44,Less than 100
2013-11-04,4,Nov,2013,20.0,Youth (<25),M,USA,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,55,38,93,Less than 100
2013-06-09,9,June,2013,30.0,Young Adults (25-34),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-500 Black, 40",1,295,540,132,295,427,More or equal to 100
2014-02-19,19,Feb,2014,49.0,Adults (35-64),M,United States,Washington,Accessories,Tires and Tubes,Road Tire Tube,13,1,4,28,13,41,Less than 100
2016-04-07,7,April,2016,33.0,Young Adults (25-34),F,UK,England,Accessories,Helmets,"Sport-100 Helmet, Red",23,13,35,474,299,773,More or equal to 100
2013-11-20,20,Nov,2013,26.0,Young Adults (25-34),F,France,Moselle,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,768,1252,2020,More or equal to 100
2015-02-06,6,Feb,2015,25.0,Young Adults (25-34),F,Germany,Hamburg,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,882,1252,2134,More or equal to 100
2013-08-12,12,August,2013,38.0,Adults (35-64),F,United Kingdom,England,Accessories,Tires and Tubes,LL Mountain Tire,11,9,25,165,99,264,More or equal to 100
2012-05-24,24,May,2012,42.0,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",2,1252,2295,1994,2504,4498,More or equal to 100
2015-11-01,1,Nov,2015,45.0,Adults (35-64),M,Australia,South Australia,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,484,1519,2003,More or equal to 100
2014-03-23,23,Mar,2014,18.0,Youth (<25),F,Australia,Queensland,Accessories,Tires and Tubes,LL Road Tire,19,8,21,183,152,335,More or equal to 100
2015-08-14,14,August,2015,30.0,Young Adults (25-34),F,Germany,Hamburg,Bikes,Touring Bikes,"Touring-3000 Yellow, 50",1,461,742,229,461,690,More or equal to 100
2016-03-21,21,Mar,2016,36.0,Adults (35-64),F,France,Seine (Paris),Accessories,Helmets,"Sport-100 Helmet, Red",17,13,35,267,221,488,More or equal to 100
2015-10-01,1,October,2015,26.0,Young Adults (25-34),M,UK,England,Accessories,Bottles and Cages,Road Bottle Cage,3,3,9,17,9,26,Less than 100
2012-01-11,11,January,2012,61.0,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-150 Red, 52",2,2171,3578,2671,4342,7013,More or equal to 100
2013-11-18,18,Nov,2013,40.0,Adults (35-64),M,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, M",5,9,24,74,45,119,Less than 100
2015-10-06,6,October,2015,25.0,Young Adults (25-34),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",9,13,35,192,117,309,More or equal to 100
2016-03-16,16,Mar,2016,41.0,Adults (35-64),F,United States,Oregon,Bikes,Road Bikes,"Road-250 Black, 44",3,1555,2443,1638,4665,6303,More or equal to 100
2015-08-05,5,August,2015,23.0,Youth (<25),F,United States,Washington,Accessories,Tires and Tubes,HL Road Tire,22,12,33,302,264,566,More or equal to 100
2016-04-15,15,April,2016,38.0,Adults (35-64),F,USA,Washington,Accessories,Bottles and Cages,Mountain Bottle Cage,24,4,10,91,96,187,Less than 100
2016-06-18,18,June,2016,,,M,Australia,New South Wales,Accessories,Cleaners,Bike Wash - Dissolver,21,3,8,83,63,146,Less than 100
2013-08-27,27,August,2013,39.0,Adults (35-64),M,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,6,2,5,11,12,23,Less than 100
2013-11-22,22,Nov,2013,44.0,Adults (35-64),M,Australia,New South Wales,Bikes,Touring Bikes,"Touring-2000 Blue, 50",1,755,1215,302,755,1057,More or equal to 100
2016-06-28,28,June,2016,51.0,Adults (35-64),M,Germany,Hessen,Accessories,Bottles and Cages,Road Bottle Cage,28,3,9,150,84,234,More or equal to 100
2014-06-23,23,June,2014,61.0,Adults (35-64),F,United States,California,Clothing,Shorts,"Women's Mountain Shorts, S",29,26,70,1235,754,1989,More or equal to 100
2016-07-31,31,July,2016,51.0,Adults (35-64),M,Germany,Saarland,Clothing,Socks,"Racing Socks, M",21,3,9,92,63,155,Less than 100
2013-06-25,25,June,2013,38.0,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,567,1266,1833,More or equal to 100
2013-08-13,13,August,2013,27.0,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,10,4,10,59,40,99,Less than 100
2016-03-04,4,Mar,2016,28.0,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,HL Mountain Tire,20,13,35,426,260,686,More or equal to 100
2016-06-05,5,June,2016,60.0,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Road Tire Tube,19,1,4,55,19,74,Less than 100
2013-12-20,20,Dec,2013,23.0,Youth (<25),F,Australia,Victoria,Bikes,Touring Bikes,-----,1,1482,2384,401,1482,1883,More or equal to 100
2015-05-12,12,May,2015,34.0,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2,1252,2295,1489,2504,3993,More or equal to 100
2016-06-12,12,June,2016,42.0,Adults (35-64),M,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Blue",1,13,35,15,13,28,Less than 100
2015-09-13,13,September,2015,30.0,Young Adults (25-34),M,Australia,Tasmania,Accessories,Bottles and Cages,Mountain Bottle Cage,15,4,10,62,60,122,Less than 100
2016-01-19,19,January,2016,27.0,Young Adults (25-34),F,USA,California,Accessories,Bottles and Cages,Road Bottle Cage,15,3,9,87,45,132,Less than 100
2016-02-10,10,Feb,2016,30.0,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,22,2,5,65,44,109,Less than 100
2016-05-29,29,May,2016,76.0,Seniors (64+),M,United States,California,Accessories,Bottles and Cages,-----,15,2,5,44,30,74,Less than 100
2012-08-08,8,August,2012,54.0,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 44",2,713,1120,769,1426,2195,More or equal to 100
2016-03-30,30,Mar,2016,35.0,Adults (35-64),F,France,Seine Saint Denis,Accessories,Tires and Tubes,Touring Tire,3,11,29,38,33,71,Less than 100
2014-01-09,9,January,2014,78.0,Seniors (64+),F,UK,England,Clothing,Caps,AWC Logo Cap,1,7,9,2,7,9,Less than 100
2014-05-02,2,May,2014,57.0,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,5,1,2,5,5,10,Less than 100
2016-04-23,23,April,2016,34.0,Young Adults (25-34),F,Germany,Hessen,Bikes,Touring Bikes,"Touring-3000 Blue, 58",1,461,742,229,461,690,More or equal to 100
2014-06-14,14,June,2014,34.0,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,12,2,5,35,24,59,Less than 100
2013-12-19,19,Dec,2013,52.0,Adults (35-64),F,United States,California,Clothing,Gloves,"Half-Finger Gloves, M",17,9,24,247,153,400,More or equal to 100
2014-07-01,1,July,2014,27.0,Young Adults (25-34),F,Canada,British Columbia,Accessories,Cleaners,Bike Wash - Dissolver,19,3,8,93,57,150,Less than 100
2014-06-05,5,June,2014,35.0,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,-----,16,2,5,46,32,78,Less than 100
2013-10-25,25,October,2013,44.0,Adults (35-64),F,Australia,Queensland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,6,2,5,13,12,25,Less than 100
2016-02-04,4,Feb,2016,52.0,Adults (35-64),F,United Kingdom,England,Clothing,Vests,"Classic Vest, M",16,24,64,599,384,983,More or equal to 100
2014-04-04,4,April,2014,31.0,Young Adults (25-34),F,France,Seine et Marne,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,636,1266,1902,More or equal to 100
2013-12-15,15,Dec,2013,24.0,Youth (<25),M,United States,Washington,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,620,2171,2791,More or equal to 100
2014-02-20,20,Feb,2014,1.0,Youth (<25),M,Germany,Hessen,Accessories,Bottles and Cages,-----,13,2,5,34,26,60,Less than 100
2014-04-23,23,April,2014,41.0,Adults (35-64),F,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,16,2,5,30,32,62,Less than 100
2014-05-07,7,May,2014,27.0,Young Adults (25-34),F,Australia,Queensland,Accessories,Cleaners,Bike Wash - Dissolver,4,3,8,15,12,27,Less than 100
2011-06-12,12,June,2011,19.0,Youth (<25),M,Germany,Hamburg,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,2313,4342,6655,More or equal to 100
2015-11-06,6,Nov,2015,20.0,Youth (<25),M,Australia,Queensland,Accessories,Bottles and Cages,Mountain Bottle Cage,19,4,10,84,76,160,Less than 100
2013-10-07,7,October,2013,26.0,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 58",1,1555,2443,790,1555,2345,More or equal to 100
2013-11-25,25,Nov,2013,33.0,Young Adults (25-34),M,Canada,British Columbia,Clothing,Jerseys,-----,26,38,50,299,988,1287,More or equal to 100
2013-12-20,20,Dec,2013,22.0,Youth (<25),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",1,420,769,334,420,754,More or equal to 100
2011-03-15,15,Mar,2011,25.0,Young Adults (25-34),F,USA,California,Bikes,Road Bikes,"Road-750 Black, 44",4,344,540,741,1376,2117,More or equal to 100
2013-12-26,26,Dec,2013,50.0,Adults (35-64),M,Germany,Saarland,Accessories,Tires and Tubes,Patch Kit/8 Patches,22,1,2,14,22,36,Less than 100
2013-06-10,10,June,2013,36.0,Adults (35-64),M,USA,California,Bikes,Road Bikes,"Road-350-W Yellow, 42",1,1083,1701,584,1083,1667,More or equal to 100
2016-06-04,4,June,2016,27.0,Young Adults (25-34),M,Australia,New South Wales,Clothing,Socks,"Racing Socks, M",2,3,9,10,6,16,Less than 100
2013-08-08,8,August,2013,61.0,Adults (35-64),M,USA,Oregon,Accessories,Helmets,"Sport-100 Helmet, Black",11,13,35,188,143,331,More or equal to 100
2014-06-28,28,June,2014,42.0,Adults (35-64),F,Canada,British Columbia,Accessories,Tires and Tubes,Touring Tire Tube,14,2,5,41,28,69,Less than 100
2014-04-17,17,April,2014,51.0,Adults (35-64),M,Australia,New South Wales,Accessories,Tires and Tubes,Touring Tire,17,11,29,242,187,429,More or equal to 100
2016-05-02,2,May,2016,28.0,Young Adults (25-34),M,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,10,1,2,6,10,16,Less than 100
2015-11-15,15,Nov,2015,1.0,Youth (<25),F,United States,California,Accessories,Tires and Tubes,-----,18,1,2,17,18,35,Less than 100
2015-10-18,18,October,2015,30.0,Young Adults (25-34),F,United States,California,Clothing,Gloves,"Half-Finger Gloves, S",29,9,24,421,261,682,More or equal to 100
2014-05-10,10,May,2014,50.0,Adults (35-64),F,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,23,2,5,67,46,113,Less than 100
2014-02-28,28,Feb,2014,35.0,Adults (35-64),F,USA,California,Bikes,Touring Bikes,"Touring-1000 Blue, 54",1,1482,2384,854,1482,2336,More or equal to 100
2015-10-19,19,October,2015,36.0,Adults (35-64),M,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Blue",13,13,35,190,169,359,More or equal to 100
2016-02-19,19,Feb,2016,1.0,Youth (<25),M,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,18,2,5,53,36,89,Less than 100
2013-10-18,18,October,2013,32.0,Young Adults (25-34),M,United States,California,Clothing,Socks,"Racing Socks, M",25,3,9,146,75,221,More or equal to 100
2015-03-02,2,Mar,2015,27.0,Young Adults (25-34),F,Australia,South Australia,Bikes,Mountain Bikes,"Mountain-200 Black, 46",3,1252,2295,1890,3756,5646,More or equal to 100
2015-04-05,5,April,2015,49.0,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-150 Red, 48",1,2171,3578,1335,2171,3506,More or equal to 100
2015-10-18,18,October,2015,31.0,Young Adults (25-34),F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,3,2,5,9,6,15,Less than 100
2016-05-27,27,May,2016,29.0,Young Adults (25-34),M,Australia,New South Wales,Accessories,Tires and Tubes,Patch Kit/8 Patches,24,1,2,18,24,42,Less than 100
2015-08-27,27,August,2015,57.0,Adults (35-64),F,USA,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,23,2,5,67,46,113,Less than 100
2015-09-06,6,September,2015,36.0,Adults (35-64),M,United Kingdom,England,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",9,38,50,90,342,432,Less than 100
2013-08-04,4,August,2013,23.0,Youth (<25),F,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Red",26,13,35,563,338,901,More or equal to 100
2013-12-21,21,Dec,2013,37.0,Adults (35-64),F,USA,Oregon,Accessories,Tires and Tubes,Road Tire Tube,25,1,4,61,25,86,Less than 100
2014-02-12,12,Feb,2014,17.0,Youth (<25),M,United States,California,Accessories,Tires and Tubes,Road Tire Tube,29,1,4,85,29,114,Less than 100
2016-04-14,14,April,2016,45.0,Adults (35-64),M,United States,California,Bikes,Touring Bikes,"Touring-1000 Blue, 46",3,1482,2384,2563,4446,7009,More or equal to 100
2016-06-16,16,June,2016,34.0,Young Adults (25-34),F,France,Nord,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",1,420,769,249,420,669,More or equal to 100
2014-06-19,19,June,2014,57.0,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578,942,2171,3113,More or equal to 100
2011-03-03,3,Mar,2011,1.0,Youth (<25),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",4,420,769,996,1680,2676,More or equal to 100
2015-12-07,7,Dec,2015,26.0,Young Adults (25-34),M,Australia,Queensland,Accessories,Tires and Tubes,Touring Tire Tube,1,2,5,2,2,4,Less than 100
2013-10-25,25,October,2013,,,M,Australia,Queensland,Accessories,Fenders,Fender Set - Mountain,30,8,22,314,240,554,More or equal to 100
2016-06-11,11,June,2016,31.0,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,Road Tire Tube,6,1,4,18,6,24,Less than 100
2015-10-18,18,October,2015,27.0,Young Adults (25-34),F,USA,California,Bikes,Road Bikes,"Road-750 Black, 58",1,344,540,185,344,529,More or equal to 100
2015-03-12,12,Mar,2015,24.0,Youth (<25),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,745,1252,1997,More or equal to 100
2013-10-25,25,October,2013,18.0,Youth (<25),F,UK,England,Accessories,Tires and Tubes,-----,27,1,4,77,27,104,Less than 100
2013-12-10,10,Dec,2013,28.0,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire Tube,17,2,5,48,34,82,Less than 100
2014-06-30,30,June,2014,34.0,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,11,2,5,32,22,54,Less than 100
2016-07-05,5,July,2016,49.0,Adults (35-64),F,France,Seine Saint Denis,Accessories,Tires and Tubes,Road Tire Tube,12,1,4,27,12,39,Less than 100
2015-07-27,27,July,2015,46.0,Adults (35-64),M,Australia,Victoria,Accessories,Bottles and Cages,Water Bottle - 30 oz.,8,2,5,16,16,32,Less than 100
2016-03-07,7,Mar,2016,52.0,Adults (35-64),F,Canada,British Columbia,Clothing,Vests,-----,27,24,64,1063,648,1711,More or equal to 100
2014-05-26,26,May,2014,34.0,Young Adults (25-34),F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Black",4,13,35,82,52,134,Less than 100
2016-04-26,26,April,2016,1.0,Youth (<25),M,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, S",16,9,24,236,144,380,More or equal to 100
2016-06-03,3,June,2016,20.0,Youth (<25),F,United States,Oregon,Accessories,Tires and Tubes,Mountain Tire Tube,2,2,5,5,4,9,Less than 100
2016-05-26,26,May,2016,35.0,Adults (35-64),F,Australia,Queensland,Clothing,Jerseys,-----,27,42,54,91,1134,1225,Less than 100
2014-07-08,8,July,2014,54.0,Adults (35-64),M,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,28,2,5,53,56,109,Less than 100
2014-01-30,30,January,2014,19.0,Youth (<25),M,Germany,Hamburg,Accessories,Tires and Tubes,LL Mountain Tire,3,9,25,43,27,70,Less than 100
